Lead_ID,Industry,Company_Size,Employee_Count,Lead_Source,Budget_Range,Decision_Timeline,Job_Title,Region,Email_Opens,Email_Clicks,Website_Visits,Pricing_Page_Views,Demo_Requested,Response_Time_Hours,Days_in_Pipeline,Deal_Value,Outcome
L0001,Healthcare,1-50,7,Event,$10k-$50k,1-3 months,Sales Manager,International,1,0,2,1,0,72.0,98,0,Lost
L0002,Consulting,501-1000,643,Cold Outreach,$100k+,3-6 months,VP Sales,Southeast,6,6,10,0,0,24.0,84,0,Lost
L0003,Manufacturing,1-50,19,Content Download,<$10k,6+ months,Director Sales,Southwest,2,0,7,2,0,4.0,65,0,Lost
L0004,Education,51-200,69,Partner,$50k-$100k,1-3 months,COO,International,7,2,14,3,1,72.0,105,52103,Won
L0005,Real Estate,201-500,435,Referral,$10k-$50k,3-6 months,CEO,International,4,1,17,4,0,24.0,35,43392,Won
L0006,Technology,1-50,25,LinkedIn,$10k-$50k,6+ months,Owner,Northeast,0,0,17,2,1,12.0,65,0,Lost
L0007,Technology,201-500,279,Webinar,$10k-$50k,Immediate,COO,International,5,4,16,0,1,48.0,119,0,Lost
L0008,Manufacturing,51-200,68,Website,$10k-$50k,Immediate,Director Sales,International,4,3,17,1,1,72.0,34,23182,Won
L0009,Real Estate,201-500,211,Content Download,$100k+,Immediate,CEO,Southeast,7,3,0,0,0,4.0,49,246002,Won
L0010,Media,51-200,99,Webinar,$10k-$50k,6+ months,CEO,West,13,5,13,3,0,0.5,19,0,Lost
L0011,Technology,501-1000,717,Partner,<$10k,1-3 months,CEO,Southeast,8,7,7,0,1,72.0,76,5120,Won
L0012,Finance,501-1000,700,Content Download,$100k+,1-3 months,VP Operations,Northeast,14,4,13,5,1,2.0,14,492154,Won
L0013,Education,1-50,6,Website,$100k+,1-3 months,VP Sales,Southwest,7,6,3,4,0,0.5,81,236716,Won
L0014,Retail,201-500,435,Cold Outreach,$50k-$100k,6+ months,Sales Manager,International,2,0,14,4,1,1.0,40,54508,Won
L0015,Education,201-500,484,LinkedIn,$100k+,3-6 months,Owner,International,3,1,8,0,0,72.0,33,432523,Won
L0016,Manufacturing,1000+,2366,Content Download,$50k-$100k,Immediate,Director Sales,International,4,2,5,5,1,72.0,21,85755,Won
L0017,Education,1000+,2465,Webinar,$10k-$50k,6+ months,Sales Manager,Northeast,6,5,7,5,0,12.0,59,25514,Won
L0018,Real Estate,1-50,11,LinkedIn,$50k-$100k,6+ months,CEO,Midwest,15,3,6,3,0,8.0,35,0,Lost
L0019,Technology,51-200,181,Trade Show,$50k-$100k,3-6 months,Director Sales,Midwest,10,0,3,2,0,8.0,51,0,Lost
L0020,Education,501-1000,501,Webinar,<$10k,6+ months,Owner,Southeast,6,2,13,0,1,12.0,22,7460,Won
L0021,Real Estate,201-500,290,Trade Show,$50k-$100k,1-3 months,CEO,West,9,6,17,0,1,8.0,84,78952,Won
L0022,Retail,1000+,4899,Content Download,$10k-$50k,Immediate,COO,Southwest,7,4,7,1,0,0.5,85,0,Lost
L0023,Healthcare,501-1000,958,Trade Show,$10k-$50k,6+ months,CFO,West,3,3,7,1,1,72.0,115,39914,Won
L0024,Consulting,1000+,4079,Partner,$100k+,6+ months,CTO,West,7,4,16,3,1,4.0,43,267619,Won
L0025,Consulting,1-50,10,LinkedIn,$10k-$50k,1-3 months,VP Operations,International,10,8,14,3,0,4.0,105,11280,Won
L0026,Media,1-50,48,Partner,$50k-$100k,6+ months,VP Operations,Southwest,8,6,15,0,0,12.0,99,0,Lost
L0027,Finance,501-1000,830,LinkedIn,<$10k,6+ months,Owner,Southwest,4,3,5,0,0,24.0,50,0,Lost
L0028,Real Estate,201-500,227,Trade Show,$50k-$100k,Immediate,CFO,Northeast,7,1,20,0,0,4.0,26,81035,Won
L0029,Healthcare,1000+,2274,Cold Outreach,$100k+,3-6 months,Director Marketing,Southeast,3,0,9,4,1,24.0,16,465529,Won
L0030,Manufacturing,1000+,3652,Referral,<$10k,3-6 months,CTO,West,10,0,13,3,0,24.0,113,8766,Won
L0031,Consulting,201-500,366,Webinar,$100k+,6+ months,VP Operations,International,2,1,14,1,0,24.0,48,286030,Won
L0032,Manufacturing,201-500,409,Event,$50k-$100k,Immediate,CTO,Southeast,7,7,20,5,1,48.0,35,70067,Won
L0033,Transportation,201-500,339,Content Download,$50k-$100k,6+ months,CTO,Midwest,7,1,6,2,0,72.0,31,68120,Won
L0034,Transportation,1000+,3900,Event,<$10k,1-3 months,COO,Southeast,4,2,1,0,1,2.0,20,5100,Won
L0035,Media,501-1000,752,Partner,$10k-$50k,Immediate,COO,West,1,0,4,4,1,1.0,104,49735,Won
L0036,Retail,1000+,1246,Trade Show,$100k+,6+ months,COO,Southwest,3,1,20,1,0,1.0,16,336193,Won
L0037,Transportation,501-1000,852,Event,<$10k,1-3 months,COO,International,8,3,13,0,0,2.0,16,5488,Won
L0038,Transportation,201-500,457,Content Download,<$10k,6+ months,COO,International,14,1,19,0,0,12.0,36,9712,Won
L0039,Manufacturing,1000+,2785,Website,$10k-$50k,6+ months,CTO,International,15,1,15,2,0,12.0,27,36977,Won
L0040,Manufacturing,501-1000,997,Webinar,<$10k,6+ months,Director Sales,Midwest,12,8,0,5,1,48.0,53,9083,Won
L0041,Retail,201-500,215,Webinar,$10k-$50k,3-6 months,CFO,International,7,2,9,4,0,72.0,114,40241,Won
L0042,Finance,501-1000,575,Event,$50k-$100k,6+ months,CFO,West,6,4,16,5,0,1.0,60,67509,Won
L0043,Manufacturing,201-500,483,Content Download,$10k-$50k,6+ months,CTO,West,12,7,10,1,1,4.0,106,12860,Won
L0044,Media,501-1000,948,Trade Show,$10k-$50k,6+ months,VP Sales,Southeast,14,1,16,3,0,2.0,26,0,Lost
L0045,Healthcare,501-1000,989,Event,$50k-$100k,6+ months,Director Sales,Midwest,15,8,1,4,0,4.0,36,56451,Won
L0046,Healthcare,501-1000,692,LinkedIn,$50k-$100k,Immediate,VP Sales,Midwest,4,1,16,3,0,2.0,55,88217,Won
L0047,Retail,501-1000,538,Event,$100k+,3-6 months,VP Sales,West,11,4,20,3,1,8.0,56,299944,Won
